Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
Influencer strategies and consignment policy optimisation: paving the way for a sustainable circular economy in a clean world,"Eya Kalboussi, Nadia Ndhaief, Nidhal Rezg, Imen Sakji",International Journal of Production Research,,,p1 - p25,5187,10.1080/00207543.2025.2498686,15-May-2025,https://doi.org/10.1080/00207543.2025.2498686,70.0,0.0
A circular economy use of waste wood sawdust for wood plastic composite production: effect of bio-plasticiser on the toughness,"Phisut Naknaen, Borwon Narupai, Nawadon Petchwattana",International Journal of Sustainable Engineering,13,5,p398 - p410,2020,10.1080/19397038.2019.1688422,14-Nov-2019,https://doi.org/10.1080/19397038.2019.1688422,2006.0,24.0
The heart and soil of value-based business: emerging circular business network and vernacular accountings,Timo Heikkilä,Accounting Forum,47,4,p614 - p645,2023,10.1080/01559982.2023.2185851,30-Mar-2023,https://doi.org/10.1080/01559982.2023.2185851,1836.0,2.0
Circularities in territories: opportunities & challenges,"Sebastien Bourdin, Danielle Galliano, Amélie Gonçalves",European Planning Studies,30,7,p1183 - p1191,2022,10.1080/09654313.2021.1973174,15-Sep-2021,https://doi.org/10.1080/09654313.2021.1973174,3596.0,37.0
Accelerating innovation for the Dutch bioeconomy transition: the case of biobased asphalt,"Maged Elsamny, Alberto Gianoli",Journal of Environmental Planning and Management,66,1,p97 - p121,2023,10.1080/09640568.2021.1978406,06-Jan-2022,https://doi.org/10.1080/09640568.2021.1978406,1741.0,4.0
Transitioning to what? The role of genetic-engineering in New Zealand's (circular) bioeconomy debates,Valentina Dinica,Journal of Environmental Policy & Planning,23,2,p194 - p212,2021,10.1080/1523908x.2021.1893161,01-Mar-2021,https://doi.org/10.1080/1523908x.2021.1893161,1136.0,4.0
Open innovation for circular and sustainable business models: case evidence from the bioeconomy sector,"Juan I Dorrego-Viera, Erik G Hansen, Valentina Lazzarotti, Andrea Urbinati",Innovation,,,p1 - p39,5187,10.1080/14479338.2025.2506731,13-Jun-2025,https://doi.org/10.1080/14479338.2025.2506731,49.0,0.0
"Framing the Circular Bioeconomy in Ireland's Broadsheet Media, 2004-2019","Maeve Henchion, Luke Kelleher, Eoin O'Neill",Environmental Communication,15,5,p678 - p698,2021,10.1080/17524032.2021.1889632,06-Apr-2021,https://doi.org/10.1080/17524032.2021.1889632,2388.0,9.0
The urban bioeconomy: extracting value from the ecological and biophysical,"Nick Taylor Buck, Aidan While",Journal of Environmental Planning and Management,64,2,p182 - p201,2021,10.1080/09640568.2020.1763931,13-Jul-2020,https://doi.org/10.1080/09640568.2020.1763931,779.0,16.0
Narrating plastics governance: policy narratives in the European plastics strategy,"Jacob Hasselbalch, Karl Holmberg, Tobias Dan Nielsen, Ellen Palm",Environmental Politics,31,3,p365 - p385,2022,10.1080/09644016.2021.1915020,29-Apr-2021,https://doi.org/10.1080/09644016.2021.1915020,9028.0,37.0
New Zealand's transition attempts to a more sustainable economy: political statements and governance realities,Valentina Dinica,Political Science,73,2,p181 - p214,2021,10.1080/00323187.2021.2019592,17-Feb-2022,https://doi.org/10.1080/00323187.2021.2019592,810.0,1.0
The circularity of the business model and the performance of bioeconomy firms: An interactionist business-environment model,"Alberto Alcalde-Calonge, Pablo Ruiz-Palomino, Francisco José Sáez-Martínez",Cogent Business & Management,9,1,,2022,10.1080/23311975.2022.2140745,04-Nov-2022,https://doi.org/10.1080/23311975.2022.2140745,3535.0,16.0
Transitioning opportunities for sub-Saharan Africa's small-scale urban pig farming towards a sustainable circular bioeconomy,"Cletos Mapiye, Munyaradzi Chris Marufu, Rebecca Mmamakgone Mathobela, Annelin Henriehetta Molotsi, Phillip Evert Strydom",International Journal of Agricultural Sustainability,22,1,,2024,10.1080/14735903.2024.2315918,27-Feb-2024,https://doi.org/10.1080/14735903.2024.2315918,1713.0,3.0
Lignin valorisation: Life Cycle Assessment (LCA) considerations for enabling Circular Bioeconomy,"Paris A Fokaides, Phoebe-Zoe Georgali, Michalis Koutinas, Angeliki Kylili",International Journal of Sustainable Energy,42,1,p1008 - p1027,2023,10.1080/14786451.2023.2250869,31-Aug-2023,https://doi.org/10.1080/14786451.2023.2250869,2678.0,7.0
Smart proteins as a new paradigm for meeting dietary protein sufficiency of India: a critical review on the safety and sustainability of different protein sources,"Aditi Guleria, Raman Kumar, Yogendra S Padwad, Vidyashankar Srivatsan, Sudesh Kumar Yadav",Critical Reviews in Food Science and Nutrition,,,p1 - p50,5187,10.1080/10408398.2024.2367564,16-Jul-2024,https://doi.org/10.1080/10408398.2024.2367564,1136.0,4.0
Technology development as a tool towards circularity: a research agenda,"Sara Alonso-Muñoz, Fernando-Enrique García-Muiña, Rocío González-Sánchez, María-Sonia Medina-Salgado",Economic Research-Ekonomska Istraživanja,36,2,,2023,10.1080/1331677x.2022.2142636,28-Dec-2022,https://doi.org/10.1080/1331677x.2022.2142636,1104.0,4.0
End-of-waste life: Inventory of alternative end-of-use recirculation routes of bio-based plastics in the European Union context,"Demetres Briassoulis, Miltiadis Hiskakis, Anastasia Pikasi",Critical Reviews in Environmental Science and Technology,49,20,p1835 - p1892,2019,10.1080/10643389.2019.1591867,27-Mar-2019,https://doi.org/10.1080/10643389.2019.1591867,1672.0,46.0
4. Implementing the circular bioeconomy in metropolitan regions,Joanna Williams,Regional Studies Policy Impact Books,6,1,p61 - p79,2024,10.1080/2578711x.2024.2418233,17-Dec-2024,https://doi.org/10.1080/2578711x.2024.2418233,113.0,0.0
Actor perceptions and network characteristics around climate-wise housing and construction in Finland,"Vesa Kanninen, Katja Lähtinen, Selja Ryöppy, Anne Toppinen",Building Research & Information,,,p1 - p16,5187,10.1080/09613218.2024.2376251,24-Jul-2024,https://doi.org/10.1080/09613218.2024.2376251,775.0,1.0
Valorization of dragon fruit waste to value-added bioproducts and formulations: A review,"Kavya Dashora, Deepti Diwan, James Gaffey, Sanjay Guleria, Vijai K Gupta, Quang D Nguyen, Ashok Pandey, Neelam Pathak, Minaxi Sharma, Amritesh Chandra Shukla, Manikant Tripathi, Sunita Varjani",Critical Reviews in Biotechnology,44,6,p1061 - p1079,2024,10.1080/07388551.2023.2254930,24-Sep-2023,https://doi.org/10.1080/07388551.2023.2254930,830.0,11.0
Narratives of fungal-based materials for a new bioeconomy era,"Nora Delvendahl, Hans-Liudger Dienel, Nina Langen, Vera Meyer, Martin Schlecht, Jennifer Zimmermann",Innovation: The European Journal of Social Science Research,36,1,p96 - p106,2023,10.1080/13511610.2022.2110453,08-Dec-2022,https://doi.org/10.1080/13511610.2022.2110453,694.0,4.0
Algae- a self-sustaining closed loop ecosystem as a resilient solution to future energy needs,"Avinash Kshitij, Shreya",International Journal of Green Energy,,,p1 - p33,5187,10.1080/15435075.2025.2516037,18-Jun-2025,https://doi.org/10.1080/15435075.2025.2516037,0.0,0.0
Valorisation of macroalgae for biofuels in Indonesia: an integrated biorefinery approach,"Elviliana, Mochammad Agus Junaidi, Lynsey Melville, Irnia Nurika, Martasari Beti Pangestuti, Roshni Paul, Nur Lailatul Rahmah, Novita Ainur Rohma, Sri Suhartini",Environmental Technology Reviews,13,1,p269 - p304,2024,10.1080/21622515.2024.2336894,12-Apr-2024,https://doi.org/10.1080/21622515.2024.2336894,2489.0,3.0
Impact of reactor configuration and relative operating conditions on volatile fatty acids production from organic waste,"Renato Iannelli, Antonio Panico, Isabella Pecorini, Elena Rossi",Environmental Technology Reviews,11,1,p156 - p186,2022,10.1080/21622515.2022.2139641,07-Nov-2022,https://doi.org/10.1080/21622515.2022.2139641,147.0,3.0
The most important technologies and highlights for biogas production worldwide,"Kelly Johana Dussan, Luana Cardoso Grangeiro, Brenda Clara Gomes Rodrigues, Arnaldo Sarti, Bruna Sampaio de Mello",Journal of the Air & Waste Management Association,75,2,p87 - p108,2025,10.1080/10962247.2024.2393192,24-Jan-2025,https://doi.org/10.1080/10962247.2024.2393192,518.0,4.0
Sustainable strategies for anaerobic digestion of oil palm empty fruit bunches in Indonesia: a review,"Nur Hidayat, Lynsey Melville, Irnia Nurika, Martasari Beti Pangestuti, Roshni Paul, Novita Ainur Rohma, Sri Suhartini, Reny Nurul Utami",International Journal of Sustainable Energy,41,11,p2044 - p2096,2022,10.1080/14786451.2022.2130923,14-Oct-2022,https://doi.org/10.1080/14786451.2022.2130923,4645.0,10.0
Territorial governance and actors' coordination in a local project of anaerobic digestion. A social network analysis,"Sébastien Bourdin, Amadou Niang, André Torre",European Planning Studies,30,7,p1251 - p1270,2022,10.1080/09654313.2021.1891208,24-Feb-2021,https://doi.org/10.1080/09654313.2021.1891208,415.0,18.0
Upscaling bio-based construction: challenges and opportunities,"Stephen Allen, Valeria Cascione, Barrie Dams, Dan Maskell, Andrew Shea, Pete Walker",Building Research & Information,51,7,p764 - p782,2023,10.1080/09613218.2023.2204414,30-Apr-2023,https://doi.org/10.1080/09613218.2023.2204414,8987.0,32.0
"Advances in polymer composites, manufacturing, recycling, and sustainable practices","Prashant Paraye, R M Sarviya",Polymer-Plastics Technology and Materials,63,11,p1474 - p1497,2024,10.1080/25740881.2024.2339295,13-Apr-2024,https://doi.org/10.1080/25740881.2024.2339295,816.0,5.0
"Combinatorial perspective on ideas, concepts, and policy change","Ari Jokinen, Erkki-Jussi Nylén",Environmental Politics,32,2,p338 - p361,2023,10.1080/09644016.2022.2075154,17-May-2022,https://doi.org/10.1080/09644016.2022.2075154,1532.0,2.0
Wood-products value-chain mapping,"Eva Haviarova, Manja Kitek Kuzman, Jue Mo",Wood Material Science & Engineering,19,4,p955 - p965,2024,10.1080/17480272.2024.2328787,25-Mar-2024,https://doi.org/10.1080/17480272.2024.2328787,3242.0,5.0
Policy risks in the biogas sector - the case of Sweden,"Stefan Anderberg, Marcus Gustafsson, Xiuyue Shan",Biofuels,16,3,p292 - p306,2025,10.1080/17597269.2024.2417452,19-Oct-2024,https://doi.org/10.1080/17597269.2024.2417452,723.0,0.0
Green Protocols for the Isolation of Carbohydrates from Vineyard Vine-Shoot Waste,"Oana Cadar, Diana Elena Dumitras, Eniko Kovacs, Cecilia Roman, Daniela Alexandra Scurtu, Lacrimioara Senila",Analytical Letters,54,1-2,p70 - p87,2021,10.1080/00032719.2020.1721001,03-Feb-2020,https://doi.org/10.1080/00032719.2020.1721001,279.0,8.0
Initiatives and barriers for green transition in peripheral regions: path tracing and agentic orientations in the bioeconomy of Norway,"Synne Bråten, Trond Nilsen, Gunhild Wedum","Regional Studies, Regional Science",12,1,p287 - p305,2025,10.1080/21681376.2025.2476627,24-Mar-2025,https://doi.org/10.1080/21681376.2025.2476627,504.0,0.0
Materials biography as a tool for designers' exploration of bio-based and bio-fabricated materials for the sustainable fashion industry,"Bruna Petreca, Barbara Pollini, Valentina Rognoli, Carmem Saito","Sustainability: Science, Practice and Policy",18,1,p749 - p772,2022,10.1080/15487733.2022.2124740,25-Oct-2022,https://doi.org/10.1080/15487733.2022.2124740,9449.0,18.0
Spent substrate from mushroom cultivation: exploitation potential toward various applications and value-added products,"Georgios Koutrotsios, Carlos Martín, Knut Olav Strætkvern, Shaojun Xiong, Georgios I Zervakis",Bioengineered,14,1,,2023,10.1080/21655979.2023.2252138,05-Sep-2023,https://doi.org/10.1080/21655979.2023.2252138,9389.0,44.0
"The 'One Nutrition' approach: connecting crop production, animal nutrition and human nutrition","Donata Maria Iolanda Renata Cattaneo, Federica Cheli, Camilla Govoni, Luciano Pinotti, Prebin Premarajan, Maria Cristina Rulli",Italian Journal of Animal Science,24,1,p978 - p987,2025,10.1080/1828051x.2025.2488956,17-Apr-2025,https://doi.org/10.1080/1828051x.2025.2488956,411.0,0.0
Agency in green path development: Circular bioeconomy in the wastewater sector,"Sigrid Damman, Henrik Brynthe Lund, Tuukka Mäkitie",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,78,3,p135 - p147,2024,10.1080/00291951.2024.2346324,31-May-2024,https://doi.org/10.1080/00291951.2024.2346324,582.0,2.0
Unlocking the Potential of Pongamia pinnata: A Scoping Review and Bibliometric Analysis (ScoRBA) Guided by the PAGER Framework,"Adnan Adnan, Aam Aminah, Lili Anggraini, Deddy Dwi Nur Cahyono, Danu Danu, Dharmawati Djam'an, Rantan Krisnan, Abdul Hakim Lukman, Novia Qomariyah, Eliya Suita, Supatmi Supatmi, Dida Syamsuwida",Forest Science and Technology,,,p1 - p23,5187,10.1080/21580103.2025.2512209,04-Jun-2025,https://doi.org/10.1080/21580103.2025.2512209,406.0,0.0
A Comprehensive Review of Fish Protein Hydrolysates Targeting Pet Food Formulations,"Tiago Aires, André Almeida, Lillian Barros, Ana R J Cabrita, Cristina Caleja, António J M Fonseca, Margarida R G Maia, Bianca Marques, Rui Martins, Maria J Mota, Manuela Pintado, Tânia Bragança Ribeiro, Cristina M R Rocha, Ana Rosa, José A Teixeira",Food Reviews International,41,5,p1321 - p1359,2025,10.1080/87559129.2024.2430660,24-Nov-2024,https://doi.org/10.1080/87559129.2024.2430660,426.0,1.0
Databases for biomass and waste biorefinery - a mini-review and SWOT analysis,"Elina Dace, Morgen Mukamwi, Raimonda Soloha, Tosin Somorin",Bioengineered,14,1,,2023,10.1080/21655979.2023.2286722,29-Nov-2023,https://doi.org/10.1080/21655979.2023.2286722,1568.0,3.0
Microbial torularhodin - a comprehensive review,"Maria Gonzalez-Miquel, Cassamo U Mussagy, Jorge F B Pereira, Valeria C Santos-Ebinuma",Critical Reviews in Biotechnology,43,4,p540 - p558,2023,10.1080/07388551.2022.2041540,17-Apr-2022,https://doi.org/10.1080/07388551.2022.2041540,798.0,22.0
The key role of the agribusiness and biotechnology sectors in constructing the economic imaginary of the bioeconomy in Argentina,Anne Tittor,Journal of Environmental Policy & Planning,23,2,p213 - p226,2021,10.1080/1523908x.2021.1893162,01-Mar-2021,https://doi.org/10.1080/1523908x.2021.1893162,413.0,13.0
Place leadership and the challenge of transformation: policy platforms and innovation ecosystems in promotion of green growth,"Markku Sotarauta, Nina Suvinen",European Planning Studies,27,9,p1748 - p1767,2019,10.1080/09654313.2019.1634006,26-Jun-2019,https://doi.org/10.1080/09654313.2019.1634006,1891.0,43.0
Drivers for adopting circular bio-based building materials to facilitate a circular transition: a case of a developed economy,"Quan T Nguyen, Chiara Piccardo, Roberta Salomone, Alexis Versele, Dinh Linh le",Journal of Environmental Planning and Management,,,p1 - p27,5187,10.1080/09640568.2025.2475448,19-Mar-2025,https://doi.org/10.1080/09640568.2025.2475448,165.0,0.0
Mapping the intellectual structure of green economy and sustainability: a bibliometric analysis of global research trends and policies,"Ali Imtiaz, Abdul Raheel, Fahad Sabah, Raheem Sarwar, Muhammad Farukh Shahzad, Chi Yuanying",Cogent Economics & Finance,13,1,,2025,10.1080/23322039.2025.2507135,23-May-2025,https://doi.org/10.1080/23322039.2025.2507135,264.0,0.0
Innovation in the bioeconomy - dynamics of biorefinery innovation networks,"Fredric Bauer, Teis Hansen, Hans Hellsmark",Technology Analysis & Strategic Management,30,8,p935 - p947,2018,10.1080/09537325.2018.1425386,19-Jan-2018,https://doi.org/10.1080/09537325.2018.1425386,1038.0,43.0
Regional state innovation in peripheral regions: enabling Lapland's green policies,"Diana Morales, Laura Sariego-Kluge","Regional Studies, Regional Science",8,1,p54 - p64,2021,10.1080/21681376.2021.1882882,18-Feb-2021,https://doi.org/10.1080/21681376.2021.1882882,3031.0,11.0
The role of scientists in regional innovation system transformation: shaping the direction to a biomass-bioeconomy,Alessio Giustolisi,Industry and Innovation,,,p1 - p24,5187,10.1080/13662716.2024.2400978,16-Sep-2024,https://doi.org/10.1080/13662716.2024.2400978,1171.0,1.0
The use of technological innovation in bio-based industries to foster growth in the bioeconomy: a South African perspective,"Bhekisisa Dlamini, Edwin Hlangwani, Leon Matsuro, Keleabetswe Lerato Mpye","Sustainability: Science, Practice and Policy",19,1,,2023,10.1080/15487733.2023.2200300,16-May-2023,https://doi.org/10.1080/15487733.2023.2200300,2219.0,3.0
Fungal bioprocessing for circular bioeconomy: Exploring lignocellulosic waste valorization,"Sunny Dhiman, Pardeep Kaur, Sukhminderjit Kaur, Gunjan Mukherjee, Jasjeet Narang, Babita Thakur, Manikant Tripathi",Mycology,15,4,p538 - p563,2024,10.1080/21501203.2024.2316824,18-Mar-2024,https://doi.org/10.1080/21501203.2024.2316824,2838.0,12.0
Smart specialization and participatory processes in green path renewal. Analysis of the forest-based bioeconomy in sparsely populated regions in the Nordics,"Margareta Dahlström, Diana Morales",European Planning Studies,31,8,p1734 - p1753,2023,10.1080/09654313.2022.2106120,05-Aug-2022,https://doi.org/10.1080/09654313.2022.2106120,1718.0,5.0
Optimization of Solid-State Fermentation Conditions With Mixed Strains Using Box-Behnken Design for the Production of brewers' Spent Grain Protein,"Adriana Cunha Neves, Ariane Perez-Gavilan, Jiao Zhang",Journal of the American Society of Brewing Chemists,82,4,p468 - p479,2024,10.1080/03610470.2024.2325748,18-Apr-2024,https://doi.org/10.1080/03610470.2024.2325748,282.0,3.0
Bioengineered biochar as smart candidate for resource recovery toward circular bio-economy: a review,"Parameswaran Binod, Shasha Guo, Mukesh Kumar Awasthi, Vinay Kumar, Hong Liu, Ashok Pandey, Surendra Sarsaiya, Raveendran Sindhu, Ping Xu, Vivek Yadav, Zengqiang Zhang",Bioengineered,12,2,p10269 - p10301,2021,10.1080/21655979.2021.1993536,11-Dec-2021,https://doi.org/10.1080/21655979.2021.1993536,5074.0,47.0
Commentary: Global Environmental Issues and the Circular Bioeconomy,"Mark Rudnicki, Robert Smith",The Science Teacher,87,8,p10 - p11,2020,10.1080/00368555.2020.12293524,26-Sep-2023,https://doi.org/10.1080/00368555.2020.12293524,10.0,0.0
Transformative change and policy-making: the case of bioeconomy policies in the EU frontrunners and lessons for latecomers,"Erkki Karo, Margit Kirs, Kadri Ukrainski",Innovation: The European Journal of Social Science Research,35,4,p514 - p546,2022,10.1080/13511610.2021.2003186,29-Nov-2021,https://doi.org/10.1080/13511610.2021.2003186,589.0,10.0
News and Views,,Scandinavian Journal of Forest Research,34,4,p329 - p332,2019,10.1080/02827581.2019.1607350,23-Apr-2019,https://doi.org/10.1080/02827581.2019.1607350,14.0,0.0
"A comparative analysis of bioeconomy visions and pathways based on stakeholder dialogues in Colombia, Rwanda, Sweden, and Thailand","May Thazin Aung, Rob Bailis, Nella Canales, Matthew Fielding, Ganna Gladkykh, Francis Xavier Johnson, Mbeo Ogeya, Olle Olsson",Journal of Environmental Policy & Planning,24,6,p680 - p700,2022,10.1080/1523908x.2022.2037412,18-Feb-2022,https://doi.org/10.1080/1523908x.2022.2037412,3330.0,15.0
Is bioeconomy policy a policy field? A conceptual framework and findings on the European Union and Germany,"Katrin Beer, Michael Böcher, Annette Elisabeth Töller, Thomas Vogelpohl",Journal of Environmental Policy & Planning,23,2,p152 - p164,2021,10.1080/1523908x.2021.1893163,01-Mar-2021,https://doi.org/10.1080/1523908x.2021.1893163,982.0,25.0
Models for analysing the dependencies between indicators for bioeconomy in the European Union,"Alina Mihaela Dima, Maria Alexandra Maassen, Adrian Tantau",Economic Research-Ekonomska Istraživanja,35,1,p3533 - p3550,2022,10.1080/1331677x.2021.1997623,06-Jan-2022,https://doi.org/10.1080/1331677x.2021.1997623,958.0,1.0
News and Views,,Scandinavian Journal of Forest Research,32,3,p268 - p271,2017,10.1080/02827581.2017.1289625,08-Feb-2017,https://doi.org/10.1080/02827581.2017.1289625,25.0,0.0
A framework of the bioeconomy as a competitive strategy for sustainable development,Kwaku Ahenkora,Sustainable Environment,11,1,,2025,10.1080/27658511.2025.2487729,11-Apr-2025,https://doi.org/10.1080/27658511.2025.2487729,357.0,0.0
Mapping Finland's regional forest bioeconomy plans,"Fredric Mosley, Jo van Brusselen",Scandinavian Journal of Forest Research,39,1,p20 - p29,2024,10.1080/02827581.2023.2282087,21-Nov-2023,https://doi.org/10.1080/02827581.2023.2282087,165.0,2.0
Policy support for disruptive innovation in the life sciences,"Joyce Tait, David Wield",Technology Analysis & Strategic Management,33,3,p307 - p319,2021,10.1080/09537325.2019.1631449,17-Jun-2019,https://doi.org/10.1080/09537325.2019.1631449,1099.0,10.0
Reshaping forest management in Australia to provide nature-based solutions to global challenges,"B Freeman, M Freeman, W Jackson, H Parry-Husbands",Australian Forestry,84,2,p50 - p58,2021,10.1080/00049158.2021.1894383,15-Mar-2021,https://doi.org/10.1080/00049158.2021.1894383,3439.0,9.0
Reconsidering actor roles in regional innovation systems: transformative industrial change in the forest-based bioeconomy,"Margareta Dahlström, Ida Grundel, Hanna Martin",Regional Studies,57,9,p1636 - p1648,2023,10.1080/00343404.2022.2151581,03-Jan-2023,https://doi.org/10.1080/00343404.2022.2151581,2820.0,9.0
Transitioning the Chemical Industry: Elements of a Roadmap Toward Sustainable Chemicals and Materials,"Stephanie Baima, Ken Geiser, Joel A Tickner",Environment: Science and Policy for Sustainable Development,64,2,p22 - p36,2022,10.1080/00139157.2022.2021793,28-Feb-2022,https://doi.org/10.1080/00139157.2022.2021793,3106.0,9.0
Non-energetic application of carbon-rich torrefied biomass in the bioeconomy: a review,"Andrzej Białowiec, Tom Causer, Daniel E Ciolkosz, David B DeVallance, Leonel J R Nunes, Jaya Tripathi",Biofuels,15,4,p389 - p405,2024,10.1080/17597269.2023.2250974,28-Aug-2023,https://doi.org/10.1080/17597269.2023.2250974,390.0,6.0
Patterns of European bioeconomy policy. Insights from a cross-case study of three policy areas,"Katrin Beer, Michael Böcher, Benjamin Ewert, Daniela Perbandt, Annette Elisabeth Töller, Thomas Vogelpohl",Environmental Politics,31,3,p386 - p406,2022,10.1080/09644016.2021.1917827,22-Apr-2021,https://doi.org/10.1080/09644016.2021.1917827,1039.0,19.0
EDITORIAL - ENZITEC Special Edition 2018 Prospects for bioeconomy and biorefineries development - Challenges and innovations in enzymatic processes,"Sílvio César Chaves Alves, Jürgen Andreaus, Marco Di Luccio, Jacinto Alves Gonçalves, Helen Treichel, Débora de Oliveira",Biocatalysis and Biotransformation,39,5,p343 - p345,2021,10.1080/10242422.2021.1951256,09-Jul-2021,https://doi.org/10.1080/10242422.2021.1951256,125.0,0.0
"""Being one of the boys"": perspectives from female forest industry leaders on gender diversity and the future of Nordic forest-based bioeconomy","G Baublyte, D D'Amato, J Korhonen, A Toppinen",Scandinavian Journal of Forest Research,34,6,p521 - p528,2019,10.1080/02827581.2019.1598484,16-Apr-2019,https://doi.org/10.1080/02827581.2019.1598484,903.0,24.0
Technology and innovation management methodology for the development of recyclable bioplastics from organic waste,"Juan Carlos Posada C, Santiago Quiceno Ciro, William Urrego Yepes, Alejandro Valencia-Arias",Cogent Engineering,11,1,,2024,10.1080/23311916.2024.2345524,20-May-2024,https://doi.org/10.1080/23311916.2024.2345524,843.0,1.0
Regional bioeconomies: public finance and sustainable policy narratives,"Moritz Albrecht, Ida Grundel, Diana Morales","Geografiska Annaler: Series B, Human Geography",103,2,p116 - p132,2021,10.1080/04353684.2021.1921603,04-May-2021,https://doi.org/10.1080/04353684.2021.1921603,2815.0,25.0
Building dynamic capabilities in the transition toward a knowledge-based bioeconomy: a case study of three Finnish regions,Valtteri Laasonen,Regional Studies,58,6,p1308 - p1319,2024,10.1080/00343404.2023.2249499,25-Sep-2023,https://doi.org/10.1080/00343404.2023.2249499,1496.0,5.0
Perspectives on the bioeconomy as an emerging policy field,"Annette Elisabeth Töller, Thomas Vogelpohl",Journal of Environmental Policy & Planning,23,2,p143 - p151,2021,10.1080/1523908x.2021.1901394,16-Mar-2021,https://doi.org/10.1080/1523908x.2021.1901394,4169.0,33.0
Transformation of socioeconomic metabolism due to development of the bioeconomy: the case of northern Aube (France),"Sabrina Dermine-Brullot, Julie Fleuet, Philippe Lescoat, Sophie Madelrieux, Pauline Marty",European Planning Studies,30,7,p1212 - p1229,2022,10.1080/09654313.2021.1889475,22-Feb-2021,https://doi.org/10.1080/09654313.2021.1889475,261.0,7.0
How national bioeconomy strategies address governance challenges arising from forest-related trade-offs,"Eva Lieberherr, Tobias Schulz, Astrid Zabel",Journal of Environmental Policy & Planning,24,1,p123 - p136,2022,10.1080/1523908x.2021.1967731,22-Aug-2021,https://doi.org/10.1080/1523908x.2021.1967731,2238.0,14.0
Bibliometric analysis of sustainable business performance: where are we going? A science map of the field,Cristina Bota-Avram,Economic Research-Ekonomska Istraživanja,36,1,p2137 - p2176,2023,10.1080/1331677x.2022.2096094,12-Jul-2022,https://doi.org/10.1080/1331677x.2022.2096094,5215.0,28.0
Agriculture's Contribution to the Growth of Romanian Bioeconomy: A Regional Approach,"Emilia Mary Bălan, Laura Mariana Cismaș",Eastern European Economics,61,4,p403 - p419,2023,10.1080/00128775.2022.2058552,04-Apr-2022,https://doi.org/10.1080/00128775.2022.2058552,234.0,6.0
What does an inclusive bioeconomy mean for primary producers? An analysis of European bioeconomy strategies,"Philipp Grundmann, Hyunjin Park",Journal of Environmental Policy & Planning,25,3,p225 - p241,2023,10.1080/1523908x.2022.2094353,06-Jul-2022,https://doi.org/10.1080/1523908x.2022.2094353,2418.0,12.0
Agroecology and circular food systems: decoupling natural resource use from rural development in sub-Saharan Africa?,"Henning Bjornlund, Martin Moyo, Angeline Mujeyi, Karen Parry, Jamie Pittock, Andre van Rooyen",International Journal of Water Resources Development,41,2,p489 - p511,2025,10.1080/07900627.2024.2449224,29-Jan-2025,https://doi.org/10.1080/07900627.2024.2449224,1141.0,1.0
Harnessing the power of tidal flat diatoms to combat climate change,"Jana Asselman, Stephen Depuydt, Thomas Friedl, Taejun Han, Philippe M Heynderickx, Colin Janssen, Hojun Lee, Lalit K Pandey, Jihae Park, Joon Tae Park, Catharina J M Philippart, Jaime Pitarch, Frederik Ronsse, Koen Sabbe, Wim Vyverman, Di Wu, Wesley de Neve, Jonas de Saeger",Critical Reviews in Environmental Science and Technology,54,19,p1395 - p1416,2024,10.1080/10643389.2024.2315004,22-Feb-2024,https://doi.org/10.1080/10643389.2024.2315004,896.0,6.0
Special issue: 2023 EPS Jubilee Issue. Global heating and crisis mitigation,Philip Cooke,European Planning Studies,31,1,p1 - p13,2023,10.1080/09654313.2022.2133909,25-Oct-2022,https://doi.org/10.1080/09654313.2022.2133909,1055.0,2.0
Guanxi and innovation in China: insights from the (bio-based) construction sector,"Tim Becker, Sebastian Losacker, Yongmin Shang",Innovation and Development,,,p1 - p24,5187,10.1080/2157930x.2025.2518825,13-Jun-2025,https://doi.org/10.1080/2157930x.2025.2518825,71.0,0.0
Resilience and policy design in the emerging bioeconomy - the RPD framework and the changing role of energy crop systems in Germany,"Katrin Daedlow, Peter H Feindt, Maria Proestou",Journal of Environmental Policy & Planning,22,5,p636 - p652,2020,10.1080/1523908x.2020.1814130,06-Oct-2020,https://doi.org/10.1080/1523908x.2020.1814130,3198.0,14.0
Institutionalising environmental sustainability transitions in New Zealand and Australia: Introduction to the special issue,"Sam Crawley, Valentina Dinica",Political Science,73,2,p85 - p102,2021,10.1080/00323187.2022.2037440,12-Apr-2022,https://doi.org/10.1080/00323187.2022.2037440,1252.0,2.0
Mind the border! Agents and functions to shape regional challenge-oriented innovation policy,"Francesco Cappellano, Kieron Flanagan, Elvira Uyarra",European Planning Studies,32,8,p1671 - p1692,2024,10.1080/09654313.2024.2359660,05-Jun-2024,https://doi.org/10.1080/09654313.2024.2359660,254.0,1.0
The ongoing green industry shift in Helgeland: Historical developments and future-oriented green regional industry scenarios,"Suyash Jolly, Jarle Løvland, Åge Mariussen",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,78,3,p180 - p193,2024,10.1080/00291951.2024.2416414,06-Nov-2024,https://doi.org/10.1080/00291951.2024.2416414,600.0,1.0
